id,trace_id,at,source,store_origin,checkout_session_id,model,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,latency_ms,estimated_cost_usd_micros,onboarding_stage,purchase_origin,payment_handler,simulated,psp_mode
6d89e6b0-bbaa-4f57-bddf-d24fd57ef377,sim-84a52b25,2026-09-17T20:35:30.009Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,24,0,0,689,41,,,,0,
f11a5bc5-1549-4e82-9c95-74d40494996d,sim-84a52b25,2026-09-17T20:35:30.103Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,20,0,,,,0,
f28faa5d-b665-4c7b-aee4-eed7511a64d4,sim-0e1017a0,2026-09-17T20:35:39.318Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,32,0,0,544,325,,,,0,
11c30b34-164f-484e-b72b-0a88c9bc758d,sim-0e1017a0,2026-09-17T20:35:40.179Z,agent.catalog,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,32,0,0,768,107,,,,0,
535131a3-74eb-4b5a-8f70-e24f83c02a82,sim-0e1017a0,2026-09-17T20:35:40.182Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,787,0,,,,0,
8c99a9fc-d56e-454f-8fb6-65873123e10b,sim-1c204767,2026-09-17T20:35:49.579Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,26,0,0,781,333,,,,0,
4dcedb4d-aca9-4c39-917f-a373ae8c880f,sim-1c204767,2026-09-17T20:35:49.661Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,17,0,,,,0,
85ff804c-29be-4490-9f10-6298a3c6cc78,sim-06884adc,2026-09-17T20:35:58.866Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,24,0,0,479,41,,,,0,
9c0572df-4a52-467e-aa1b-fee0581ae306,sim-06884adc,2026-09-17T20:35:59.299Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,125,0,,,,0,
4f993c3b-684c-40d6-b335-1fd65628eab4,sim-2a1046db,2026-09-17T20:36:08.838Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,32,0,0,794,325,,,,0,
573d41d2-4acf-4603-9fdc-a601c65476f9,sim-2a1046db,2026-09-17T20:36:10.614Z,agent.catalog,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,38,0,0,1693,109,,,,0,
c97f7a94-b2f5-4db7-a6ec-45ce3f8f4fdc,sim-2a1046db,2026-09-17T20:36:10.617Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,1707,0,,,,0,
1ddef032-3315-467f-8008-8d1927c13852,sim-f35be0cf,2026-09-17T20:36:19.866Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,28,0,0,555,334,,,,0,
ba8c3e00-daaa-4e8a-8e6a-604ae5e2ab1b,sim-f35be0cf,2026-09-17T20:36:19.939Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,11,0,,,,0,
e0da95b4-0699-429a-9a37-73c79f2b34b4,sim-db8e96b5,2026-09-17T20:36:29.162Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,24,0,0,499,41,,,,0,
f3c5579e-a8a5-4284-8561-62aaa8c516ff,sim-db8e96b5,2026-09-17T20:36:29.228Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,19,0,,,,0,
f1f9f6e4-1e14-45fe-a237-eb5193513e6c,sim-9295930d,2026-09-17T20:36:38.494Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,32,0,0,568,326,,,,0,
a33111f3-ce01-4395-aa13-f270f55be409,sim-9295930d,2026-09-17T20:36:40.130Z,agent.catalog,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,41,0,0,1572,110,,,,0,
3ff5c84d-9ad5-4449-9810-79ad34fa61b7,sim-9295930d,2026-09-17T20:36:40.134Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,1583,0,,,,0,
d3e522cc-351e-46e9-b589-cced28662e57,sim-f82abc8c,2026-09-17T20:36:49.507Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,38,0,0,681,337,,,,0,
9ccf96e5-7d74-4504-b6e5-9da342b81477,sim-f82abc8c,2026-09-17T20:36:49.553Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,8,0,,,,0,
f3304aa4-9dd7-45d5-8e4f-14b4fab2b9f7,sim-b5d6891b,2026-09-17T20:37:14.679Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,0,36,0,0,845,352,,,,0,
578fe51c-51d7-4e4f-8bd8-12f42d70f078,sim-b5d6891b,2026-09-17T20:37:14.732Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,7,0,,,,0,
a0214f20-aee4-4222-80cf-21dc4d968cff,sim-36b18a86,2026-09-17T20:39:37.596Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,324,24,0,0,729,35,,,,0,
494a0797-4640-441f-8674-b238eec4508f,sim-36b18a86,2026-09-17T20:39:37.719Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,38,0,,,,0,
b87ce468-adc9-4a2e-9f73-c508fc11e69e,sim-36b18a86,2026-09-17T20:39:38.513Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2007,53,0,0,551,139,,,,0,
ee9859bf-a781-40bb-b958-76e8879733bf,sim-ec8c3e1c,2026-09-17T20:39:47.718Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2184,31,0,0,778,144,,,,0,
c68db6c4-5184-4ece-bae7-761f74b8dc96,sim-ec8c3e1c,2026-09-17T20:39:49.194Z,agent.catalog,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,1314,33,0,0,1349,88,,,,0,
93332b77-57d9-4220-98c0-f1639e91f07f,sim-ec8c3e1c,2026-09-17T20:39:49.197Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,1364,0,,,,0,
b21a8b77-0292-405f-a80f-81d1af4ea1dd,sim-ec8c3e1c,2026-09-17T20:39:49.814Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2346,12,0,0,457,149,,,,0,
780577f3-450d-4c04-8619-5529a62b440d,sim-27a2caf2,2026-09-17T20:39:59.396Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2456,39,0,0,1162,162,,,,0,
de0a1c2b-b8c5-4912-ba96-e979cf0b8291,sim-27a2caf2,2026-09-17T20:39:59.565Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,22,0,,,,0,
1e539ffc-f398-4e37-ba7d-72dd4463a480,sim-27a2caf2,2026-09-17T20:40:01.022Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2700,5,0,0,1307,168,,,,0,
2a98d981-d980-47b0-b96e-6532ee8861e2,sim-40e39999,2026-09-17T20:40:11.143Z,agent.guardian,http://127.0.0.1:8790,cs_e4d9b4cc-d17e-40e8-aa03-82ded655c910,us.anthropic.claude-sonnet-4-6,306,46,0,0,2029,1608,,,,0,
b491fc7c-312b-41b4-9289-b96b938ca764,sim-dfa9cd46,2026-09-17T20:40:12.238Z,bridge.checkout,http://127.0.0.1:8790,cs_e4d9b4cc-d17e-40e8-aa03-82ded655c910,,0,0,0,0,1076,0,,own,com.agentposhq.processor_tokenizer/processor-tokenizer,0,test_mode
da5c8e4f-4970-48d0-82f6-846a9ccc72f2,sim-dfa9cd46,2026-09-17T20:40:12.771Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,12,0,,,,0,
edf5d28a-a970-4431-803e-f6689161ea19,sim-940299b0,2026-09-17T20:40:14.217Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,332,24,0,0,1066,36,,,,0,
c38a6c2a-38c4-4fba-9006-6d52e809dba7,sim-940299b0,2026-09-17T20:40:14.245Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,5,0,,,,0,
adc4110f-e905-49a9-93b8-881cf48a2425,sim-940299b0,2026-09-17T20:40:15.335Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2010,56,0,0,940,140,,,,0,
14dcec1b-5944-46f2-8f2d-74396a3d6309,sim-8d0f031c,2026-09-17T20:40:24.503Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2193,26,0,0,769,143,,,,0,
e82829eb-77b7-47d4-941c-ed04ce5965ca,sim-8d0f031c,2026-09-17T20:40:24.537Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,8,0,,,,0,
44c047e1-3203-4372-8944-e2a443c446b5,sim-8d0f031c,2026-09-17T20:40:25.732Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2479,23,0,0,1052,159,,,,0,
f030c241-9fb1-418a-b66a-4f158c68da3d,sim-47be9528,2026-09-17T20:40:35.033Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2602,36,0,0,919,170,,,,0,
184a3ff5-e994-4e57-9083-0ec742be699a,sim-47be9528,2026-09-17T20:40:35.064Z,bridge.mcp,http://127.0.0.1:8790,,,0,0,0,0,5,0,,,,0,
9eb84a76-c635-4823-98db-c02aa25b272d,sim-47be9528,2026-09-17T20:40:35.873Z,simulator,http://127.0.0.1:8790,,us.amazon.nova-2-lite-v1:0,2832,5,0,0,666,176,,,,0,
f04e665a-2071-4b58-ba41-b797581c4219,sim-ca0ce6a0,2026-09-17T20:40:45.629Z,agent.guardian,http://127.0.0.1:8790,cs_321d0561-2ed5-4be4-8315-348e0d04200f,us.anthropic.claude-sonnet-4-6,299,39,0,0,1707,1482,,,,0,
